#time, encoder, angular velocity, steering angle
0.000000, 24628960, -0.007309, -0.284711
0.014739, 24628960, 0.004945, -0.284711
0.017456, 24628960, 0.003656, -0.284711
0.019821, 24628960, 0.006112, -0.284711
0.021169, 24628960, -0.009459, -0.284711
0.022154, 24628960, 0.005985, -0.284711
0.023392, 24628960, -0.007182, -0.284711
0.025791, 24628960, -0.005947, -0.284711
0.047584, 24628960, 0.006885, -0.284151
0.080690, 24628960, -0.003362, -0.282471
0.112578, 24628960, 0.004554, -0.279112
0.147322, 24628960, 0.006483, -0.275472
0.182964, 24628964, -0.022561, -0.270713
0.212645, 24628968, -0.004539, -0.264554
0.247689, 24628968, -0.008759, -0.257555
0.280676, 24628972, 0.002114, -0.249717
0.313784, 24628980, 0.000815, -0.242438
0.348304, 24629006, 0.000977, -0.234599
0.380731, 24629046, -0.008258, -0.225641
0.412936, 24629092, -0.003316, -0.215283
0.447542, 24629128, -0.004904, -0.203805
0.480339, 24629156, -0.011049, -0.192887
0.512953, 24629202, -0.004862, -0.181968
0.547645, 24629268, -0.000770, -0.170490
0.580519, 24629342, -0.005412, -0.159292
0.612683, 24629404, -0.008729, -0.147534
0.651487, 24629468, -0.004629, -0.135217
0.681982, 24629538, -0.015185, -0.122899
0.713577, 24629618, -0.007349, -0.110301
0.747157, 24629712, -0.009156, -0.096583
0.782495, 24629812, -0.008920, -0.083146
0.813771, 24629924, -0.015061, -0.068588
0.846817, 24630048, -0.006620, -0.054031
0.881219, 24630188, -0.010890, -0.039753
0.912622, 24630348, -0.007879, -0.026035
0.947192, 24630544, -0.018818, -0.012878
0.981258, 24630754, -0.007988, -0.000280
1.013067, 24630988, -0.013308, 0.010638
1.046169, 24631240, -0.005860, 0.021836
1.082095, 24631532, -0.002927, 0.031914
1.113053, 24631844, -0.006848, 0.041153
1.147329, 24632188, 0.000481, 0.049551
1.181175, 24632548, 0.005484, 0.056830
1.212722, 24632932, 0.005533, 0.063269
1.247907, 24633378, 0.014716, 0.069428
1.280832, 24633812, 0.009045, 0.074467
1.312789, 24634288, 0.030483, 0.079226
1.347902, 24634798, 0.006047, 0.083426
1.382553, 24635324, 0.036590, 0.086785
1.412977, 24635886, 0.044594, 0.089305
1.447579, 24636488, -0.007386, 0.090704
1.480972, 24637098, 0.071471, 0.090984
1.512773, 24637740, 0.067956, 0.090704
1.546441, 24638436, 0.037767, 0.090704
1.580678, 24639138, 0.012284, 0.090704
1.615397, 24639866, 0.026003, 0.090424
1.647262, 24640644, 0.043263, 0.090144
1.680275, 24641432, 0.055332, 0.089584
1.712928, 24642244, 0.059984, 0.089025
1.746733, 24643100, 0.035770, 0.088465
1.780200, 24643956, 0.038289, 0.087065
1.813930, 24644844, 0.051120, 0.085385
1.846735, 24645788, 0.050653, 0.082586
1.881763, 24646724, 0.053095, 0.079506
1.912785, 24647688, 0.058321, 0.074747
1.946493, 24648708, 0.067371, 0.068588
1.980576, 24649726, 0.071054, 0.061029
2.037644, 24650772, 0.065703, 0.053471
2.046948, 24651884, 0.077656, 0.044792
2.079874, 24652984, 0.058177, 0.034994
2.112587, 24654112, 0.027822, 0.024636
2.147106, 24655302, 0.046664, 0.013438
2.181267, 24656472, 0.029676, 0.002520
2.212983, 24657668, 0.029105, -0.008678
2.247462, 24658930, -0.005788, -0.020157
2.280765, 24660176, 0.026806, -0.031355
2.312722, 24661452, -0.005884, -0.041993
2.347350, 24662788, -0.012587, -0.053191
2.380779, 24664104, -0.003949, -0.063549
2.413488, 24665492, -0.043472, -0.074467
2.447463, 24666864, -0.011950, -0.085945
2.481133, 24668268, -0.061356, -0.097703
2.512827, 24669692, -0.069213, -0.110301
2.547730, 24671188, -0.060932, -0.124858
2.583900, 24672672, -0.097211, -0.140256
2.612983, 24674180, -0.106691, -0.156493
2.647611, 24675750, -0.102893, -0.173850
2.680781, 24677294, -0.119187, -0.191487
2.712799, 24678858, -0.172016, -0.209404
2.747054, 24680480, -0.176413, -0.228160
2.780733, 24682060, -0.175526, -0.245797
2.817569, 24683636, -0.238601, -0.263434
2.847646, 24685268, -0.211181, -0.281071
2.883078, 24686866, -0.235444, -0.297868
2.912961, 24688472, -0.262515, -0.314665
2.946666, 24690128, -0.293007, -0.332302
2.984563, 24691748, -0.319725, -0.349380
3.012897, 24693360, -0.312609, -0.366177
3.046568, 24695028, -0.366180, -0.382974
3.079990, 24696640, -0.318484, -0.398371
3.112776, 24698258, -0.386788, -0.412369
3.146597, 24699928, -0.391727, -0.425806
3.183022, 24701554, -0.400375, -0.438124
3.212771, 24703200, -0.455928, -0.448762
3.246832, 24704916, -0.417067, -0.459400
3.279760, 24706582, -0.461021, -0.468919
3.312657, 24708240, -0.474140, -0.477877
3.347324, 24709960, -0.456600, -0.485156
3.381497, 24711660, -0.479905, -0.491035
3.412962, 24713372, -0.499069, -0.495794
3.447643, 24715152, -0.530200, -0.499713
3.480661, 24716884, -0.511626, -0.502793
3.513135, 24718622, -0.521131, -0.505592
3.547212, 24720416, -0.548595, -0.508392
3.580135, 24722178, -0.535603, -0.510912
3.615893, 24723948, -0.576890, -0.513431
3.647504, 24725842, -0.560795, -0.517070
3.682050, 24727568, -0.576380, -0.520710
3.712869, 24729364, -0.577145, -0.525469
3.746323, 24731208, -0.582640, -0.531068
3.780916, 24733008, -0.584602, -0.537227
3.816585, 24734814, -0.590833, -0.543946
3.847527, 24736680, -0.603527, -0.552064
3.882385, 24738502, -0.605683, -0.560463
3.912707, 24740328, -0.620955, -0.569701
3.947145, 24742218, -0.631035, -0.580339
3.981785, 24744048, -0.647102, -0.591258
4.013550, 24745934, -0.647381, -0.603016
4.046582, 24747764, -0.673316, -0.614494
4.080318, 24749586, -0.683901, -0.625972
4.112949, 24751432, -0.700811, -0.637450
4.146232, 24753350, -0.711281, -0.649208
4.179802, 24755220, -0.714865, -0.660966
4.212463, 24757082, -0.712684, -0.673003
4.247222, 24758992, -0.742789, -0.684481
4.280168, 24760848, -0.778766, -0.695120
4.312909, 24762720, -0.787256, -0.704358
4.351491, 24764648, -0.776774, -0.712757
4.381018, 24766524, -0.798031, -0.719475
4.412634, 24768406, -0.822079, -0.724795
4.447139, 24770402, -0.832133, -0.730114
4.481199, 24772226, -0.848058, -0.734313
4.512816, 24774106, -0.858471, -0.738232
4.547993, 24776044, -0.806877, -0.742431
4.582963, 24777926, -0.875119, -0.745791
4.613651, 24779802, -0.860428, -0.748870
4.647380, 24781724, -0.861121, -0.751390
4.681673, 24783588, -0.843401, -0.752790
4.713206, 24785464, -0.864630, -0.753909
4.747948, 24787450, -0.851088, -0.754189
4.782601, 24789260, -0.847128, -0.754189
4.816749, 24791124, -0.857210, -0.754469
4.846441, 24793032, -0.853877, -0.754469
4.882142, 24794892, -0.830505, -0.754469
4.912983, 24796760, -0.844982, -0.754469
4.946565, 24798690, -0.846803, -0.754469
4.980781, 24800556, -0.853806, -0.754469
5.012832, 24802412, -0.856871, -0.754469
5.046441, 24804322, -0.874704, -0.754469
5.081359, 24806196, -0.824825, -0.754189
5.112925, 24808086, -0.840129, -0.754189
5.146667, 24810022, -0.885574, -0.754189
5.179887, 24811902, -0.868386, -0.753909
5.213798, 24813784, -0.871670, -0.753350
5.246992, 24815712, -0.864896, -0.753070
5.282035, 24817592, -0.880149, -0.752510
5.313296, 24819472, -0.895736, -0.751670
5.347567, 24821404, -0.849211, -0.750550
5.381222, 24823268, -0.873496, -0.748870
5.413132, 24825136, -0.837028, -0.746631
5.447407, 24827112, -0.888960, -0.743831
5.481798, 24828918, -0.864572, -0.741032
5.513689, 24830776, -0.862667, -0.737672
5.547821, 24832690, -0.834241, -0.734033
5.580419, 24834556, -0.837174, -0.729834
5.612739, 24836416, -0.813674, -0.725634
5.646445, 24838312, -0.815454, -0.721155
5.681271, 24840160, -0.818530, -0.716676
5.712579, 24842008, -0.794302, -0.711077
5.747644, 24843948, -0.804581, -0.704918
5.782222, 24845720, -0.795977, -0.699599
5.815947, 24847556, -0.816329, -0.692880
5.846417, 24849444, -0.800057, -0.685601
5.879877, 24851284, -0.787030, -0.677763
5.912617, 24853118, -0.753063, -0.668804
5.946515, 24854980, -0.791305, -0.659286
5.980761, 24856780, -0.720022, -0.649488
6.012727, 24858572, -0.720520, -0.639969
6.046858, 24860428, -0.744921, -0.629611
6.080492, 24862220, -0.724956, -0.620932
6.113471, 24864012, -0.718583, -0.611974
6.147207, 24865848, -0.715681, -0.603855
6.181041, 24867634, -0.707936, -0.596577
6.212888, 24869430, -0.688136, -0.589578
6.247162, 24871280, -0.689379, -0.582299
6.281034, 24873090, -0.658770, -0.575300
6.312903, 24874912, -0.672560, -0.567462
6.351046, 24876788, -0.675853, -0.559063
