#time, encoder, angular velocity, steering angle
0.000653, 25526960, 0.005143, -0.036674
0.005012, 25526960, 0.003483, -0.036674
0.006885, 25526960, -0.000512, -0.036674
0.008122, 25526960, 0.001278, -0.036674
0.008672, 25526960, 0.001307, -0.036674
0.011402, 25526960, 0.000556, -0.036674
0.012043, 25526960, -0.000857, -0.036674
0.012946, 25526960, 0.006027, -0.036674
0.041882, 25526960, 0.001133, -0.036674
0.073901, 25526960, 0.004947, -0.036674
0.107766, 25526960, 0.000735, -0.036674
0.141431, 25526960, 0.004580, -0.036674
0.174099, 25526960, -0.000685, -0.036674
0.207519, 25526960, 0.006973, -0.036674
0.241735, 25526960, 0.000579, -0.036674
0.274209, 25526960, 0.000548, -0.036674
0.307539, 25526960, -0.000120, -0.036674
0.341097, 25526960, 0.003134, -0.036674
0.373865, 25526960, 0.007049, -0.036674
0.408434, 25526960, 0.002127, -0.036674
0.441424, 25526960, 0.005566, -0.036674
0.474257, 25526960, 0.004473, -0.036674
0.507671, 25526960, -0.001738, -0.036674
0.540842, 25526960, -0.002709, -0.036674
0.574342, 25526960, 0.003679, -0.036674
0.607515, 25526960, 0.012149, -0.036674
0.641131, 25526960, -0.009115, -0.036674
0.673939, 25526960, -0.004912, -0.036674
0.707810, 25526960, -0.001481, -0.036674
0.741014, 25526960, 0.003121, -0.036674
0.774375, 25526960, -0.000484, -0.036674
0.807424, 25526960, -0.004567, -0.036674
0.840695, 25526960, 0.001384, -0.036674
0.874008, 25526960, 0.001144, -0.036674
0.907682, 25526960, -0.003233, -0.036674
0.940912, 25526960, 0.005584, -0.036674
0.974169, 25526960, 0.000606, -0.036674
1.008191, 25526960, 0.002692, -0.036674
1.041198, 25526960, 0.007731, -0.036674
1.073874, 25526960, -0.004826, -0.036674
1.107648, 25526960, -0.001940, -0.036674
1.141370, 25526962, -0.001211, -0.036954
1.174132, 25526966, -0.002990, -0.036954
1.207530, 25526984, 0.008851, -0.037793
1.240746, 25527020, -0.008375, -0.038633
1.274286, 25527064, -0.000145, -0.039473
