#time, encoder, angular velocity, steering angle
0.000000, 2899121, 0.002445, 0.118979
0.002606, 2899121, -0.004077, 0.119259
0.007664, 2899121, -0.003007, 0.119259
0.010903, 2899121, 0.000811, 0.119539
0.013899, 2899121, 0.003339, 0.119539
0.014583, 2899121, -0.000482, 0.119539
0.019281, 2899121, 0.009924, 0.119539
0.020915, 2899121, -0.001364, 0.119539
0.039122, 2899121, 0.001869, 0.119539
0.072584, 2899121, -0.007734, 0.119539
0.106262, 2899121, -0.002114, 0.119539
0.139172, 2899121, -0.005137, 0.119539
0.172554, 2899121, -0.001465, 0.119539
0.205912, 2899121, 0.008116, 0.119539
0.239677, 2899121, 0.000380, 0.119539
0.273040, 2899121, 0.002539, 0.119819
0.306133, 2899121, 0.003645, 0.119819
0.339741, 2899121, 0.000728, 0.119819
0.372743, 2899121, -0.000633, 0.119819
0.406272, 2899121, -0.007524, 0.119819
0.439146, 2899121, 0.009429, 0.119819
0.472843, 2899121, 0.003489, 0.119819
0.506087, 2899121, 0.004602, 0.119819
0.539310, 2899121, 0.000317, 0.119819
0.572698, 2899121, 0.002912, 0.119819
0.606442, 2899121, 0.006932, 0.120099
0.639143, 2899121, 0.001031, 0.120099
0.672985, 2899121, -0.000811, 0.120099
0.706090, 2899121, -0.005375, 0.120099
0.739345, 2899121, 0.000178, 0.120099
0.773370, 2899121, 0.006489, 0.120099
0.806266, 2899121, 0.000787, 0.120099
0.839139, 2899121, 0.001675, 0.120099
0.873123, 2899121, 0.009104, 0.120099
0.906533, 2899121, -0.002468, 0.120099
0.939493, 2899121, 0.002446, 0.120099
0.972989, 2899121, -0.005707, 0.120099
1.006573, 2899121, 0.004283, 0.120099
1.040820, 2899121, -0.000654, 0.120099
1.072855, 2899121, 0.005255, 0.120099
1.105754, 2899121, -0.004079, 0.120099
1.140223, 2899121, -0.004747, 0.120099
1.172749, 2899121, -0.008781, 0.120099
1.206170, 2899121, -0.004840, 0.120099
1.239467, 2899121, 0.002639, 0.120379
1.272837, 2899121, 0.003698, 0.120379
1.306426, 2899121, 0.008527, 0.120659
1.339420, 2899121, -0.004828, 0.120659
1.373301, 2899121, -0.000102, 0.120659
1.407004, 2899121, -0.003069, 0.120659
1.439899, 2899121, 0.003732, 0.120659
1.473561, 2899121, -0.001051, 0.120659
