#time, encoder, angular velocity, steering angle
3.970586, 5307845, -0.015486, -0.015117
4.002678, 5308588, 0.003327, -0.015117
4.035225, 5309325, -0.003233, -0.015117
4.068805, 5310076, 0.001760, -0.015117
4.103005, 5310816, 0.004868, -0.015117
4.135049, 5311509, -0.006917, -0.014837
4.170614, 5312240, -0.018723, -0.014278
4.202266, 5312970, -0.013520, -0.013998
4.234838, 5313656, -0.012060, -0.013438
4.269205, 5314380, -0.015340, -0.012878
4.302743, 5315102, 0.005233, -0.011758
4.335161, 5315791, -0.014388, -0.009798
4.368924, 5316526, -0.007236, -0.007839
4.402396, 5317270, -0.008515, -0.005319
4.435536, 5317973, 0.005491, -0.002800
4.469619, 5318720, -0.002324, -0.000000
4.502365, 5319478, -0.005379, 0.002520
4.535819, 5320192, -0.002576, 0.005039
4.568896, 5320953, 0.000465, 0.007559
4.601907, 5321691, -0.004090, 0.009518
4.635710, 5322434, 0.013833, 0.010918
4.668615, 5323203, 0.007930, 0.012318
4.701967, 5323946, -0.005604, 0.013158
4.735371, 5324689, -0.000855, 0.013438
4.769624, 5325454, 0.006804, 0.013438
4.802175, 5326197, 0.006146, 0.013438
4.835533, 5326935, -0.003916, 0.013438
4.868903, 5327693, 0.002354, 0.013438
4.901717, 5328424, -0.005731, 0.013438
4.934950, 5329155, 0.012366, 0.013438
4.970481, 5329908, 0.001828, 0.013438
5.002121, 5330640, -0.003653, 0.013438
5.035119, 5331369, -0.000623, 0.013438
5.068364, 5332123, 0.011733, 0.013438
5.102430, 5332851, 0.002667, 0.013438
5.134990, 5333580, -0.001090, 0.013438
5.169015, 5334323, 0.001380, 0.013438
5.203038, 5335033, 0.009650, 0.013438
5.235663, 5335730, -0.002909, 0.013438
5.268884, 5336434, -0.002683, 0.013438
5.302261, 5337100, 0.006611, 0.013438
5.335347, 5337743, -0.000686, 0.013438
5.369176, 5338380, -0.011694, 0.013438
5.402857, 5338999, 0.013798, 0.013438
5.434976, 5339592, 0.011001, 0.013438
5.469666, 5340218, 0.011256, 0.013438
5.502392, 5340816, 0.002362, 0.013438
5.534906, 5341349, -0.002582, 0.013438
5.569717, 5341899, 0.006581, 0.013438
5.602558, 5342425, -0.007985, 0.013438
5.635048, 5342893, 0.005752, 0.013438
5.670109, 5343364, -0.003477, 0.013438
5.702373, 5343822, -0.001388, 0.013158
5.734798, 5344232, 0.013186, 0.013158
5.772621, 5344647, 0.001587, 0.013158
5.802301, 5345034, -0.000592, 0.012878
5.835469, 5345373, -0.003222, 0.012878
5.868715, 5345718, 0.002518, 0.012878
5.901924, 5346041, -0.001950, 0.012878
5.935584, 5346352, 0.002546, 0.012878
5.969779, 5346654, 0.004880, 0.012878
6.001977, 5346923, 0.006432, 0.012878
6.035560, 5347177, -0.001532, 0.012598
6.069073, 5347422, -0.001228, 0.012598
6.101752, 5347641, 0.000597, 0.012598
6.136113, 5347844, 0.008269, 0.012598
6.169118, 5348032, 0.005185, 0.012598
6.202558, 5348201, 0.004012, 0.012598
6.235083, 5348362, -0.000274, 0.012598
6.270867, 5348515, -0.001849, 0.012598
6.302036, 5348648, 0.006151, 0.012598
6.336245, 5348766, -0.007245, 0.012598
6.369120, 5348873, -0.001167, 0.012598
6.401989, 5348966, 0.001369, 0.012598
6.436586, 5349054, -0.001952, 0.012598
6.469445, 5349144, 0.001149, 0.012598
6.502246, 5349238, 0.004122, 0.012598
6.535322, 5349334, 0.003075, 0.012598
6.569178, 5349420, -0.000317, 0.012598
6.602455, 5349461, -0.005528, 0.012598
6.635139, 5349477, 0.008179, 0.012598
6.668571, 5349492, -0.003412, 0.012598
6.704910, 5349519, 0.008304, 0.012598
6.735359, 5349550, 0.003538, 0.012598
6.769036, 5349573, -0.006878, 0.012598
6.802591, 5349587, -0.002908, 0.012598
6.835544, 5349597, 0.003625, 0.012598
6.869165, 5349609, 0.007754, 0.012598
6.902819, 5349620, 0.004812, 0.012598
6.934792, 5349628, -0.008740, 0.012598
6.968745, 5349637, 0.002551, 0.012598
7.002631, 5349640, 0.001380, 0.012598
7.034885, 5349644, 0.000865, 0.012598
7.069609, 5349650, 0.005450, 0.012598
7.103057, 5349654, -0.002689, 0.012598
7.138133, 5349659, -0.003798, 0.012598
7.169442, 5349663, -0.003372, 0.012598
7.202493, 5349667, -0.002703, 0.012598
7.234661, 5349670, 0.005979, 0.012598
7.269841, 5349674, 0.000421, 0.012598
7.301886, 5349685, -0.003616, 0.012598
7.335801, 5349697, 0.003341, 0.012598
7.370411, 5349705, -0.005757, 0.012598
7.402322, 5349709, 0.005160, 0.012598
7.435203, 5349722, -0.001531, 0.012598
7.469406, 5349743, -0.007067, 0.012598
7.501996, 5349763, 0.003698, 0.012598
7.535186, 5349773, -0.001759, 0.012598
7.569617, 5349788, 0.001504, 0.012598
7.601856, 5349807, 0.003890, 0.012598
7.635815, 5349822, 0.001301, 0.012598
7.668038, 5349837, 0.011635, 0.012598
7.706279, 5349857, -0.001650, 0.012598
7.734777, 5349873, 0.004087, 0.012598
7.770242, 5349883, -0.001022, 0.012598
7.802144, 5349892, -0.001724, 0.012598
7.835932, 5349906, 0.004176, 0.012598
7.871041, 5349912, -0.000549, 0.012598
7.902852, 5349918, 0.007703, 0.012598
7.934977, 5349923, 0.000072, 0.012598
7.968833, 5349931, 0.002295, 0.012598
8.001837, 5349937, -0.004233, 0.012598
8.035472, 5349938, 0.004881, 0.012598
8.068158, 5349938, 0.004556, 0.012598
8.102908, 5349938, -0.002956, 0.012598
8.135275, 5349938, 0.001671, 0.012598
8.169286, 5349938, 0.006063, 0.012598
8.202937, 5349938, -0.001681, 0.012598
8.235366, 5349938, -0.005238, 0.012598
8.268566, 5349938, -0.002072, 0.012598
8.303001, 5349938, 0.003472, 0.012598
8.334913, 5349938, 0.007311, 0.012598
8.369655, 5349938, 0.001793, 0.012598
8.402215, 5349939, -0.003560, 0.012598
8.435208, 5349939, -0.001664, 0.012598
8.468708, 5349939, -0.000550, 0.012598
8.502804, 5349940, 0.000780, 0.012598
8.534931, 5349942, 0.004733, 0.012598
8.569346, 5349947, -0.000276, 0.012598
8.602538, 5349952, 0.006960, 0.012598
8.635582, 5349953, -0.007248, 0.012598
8.669108, 5349957, 0.002074, 0.012598
8.702732, 5349963, -0.001576, 0.012598
8.734952, 5349969, 0.008616, 0.012598
8.769766, 5349976, -0.012151, 0.012598
8.801892, 5349978, -0.004656, 0.012598
8.835205, 5349994, -0.003926, 0.012598
8.870029, 5350019, 0.009301, 0.012598
8.901626, 5350042, 0.003470, 0.012598
8.935269, 5350061, 0.003272, 0.012598
8.969122, 5350093, -0.001279, 0.012598
9.001838, 5350134, 0.012278, 0.012598
9.035342, 5350180, 0.000523, 0.012598
9.071761, 5350232, 0.002012, 0.012598
9.102033, 5350292, 0.000527, 0.012598
9.135001, 5350364, -0.007913, 0.012598
9.169145, 5350446, -0.003358, 0.012598
9.201798, 5350534, 0.004603, 0.012598
9.235137, 5350629, 0.001317, 0.012598
9.268698, 5350732, 0.005005, 0.012598
9.302355, 5350852, 0.004958, 0.012598
9.335200, 5350980, 0.002332, 0.012598
9.370518, 5351122, 0.004637, 0.012598
9.402696, 5351276, -0.003599, 0.012598
9.435513, 5351444, -0.005360, 0.012598
9.469726, 5351626, 0.004334, 0.012598
9.502617, 5351832, 0.002815, 0.012598
9.534927, 5352054, 0.003721, 0.012598
9.569107, 5352292, 0.007840, 0.012598
9.602618, 5352567, -0.003696, 0.012598
9.635139, 5352840, 0.002138, 0.012598
9.670360, 5353145, 0.008498, 0.012598
9.703180, 5353484, -0.006075, 0.012598
9.735100, 5353824, 0.005776, 0.012598
9.769191, 5354197, -0.004732, 0.012598
9.803040, 5354582, 0.020883, 0.012598
9.835018, 5354958, 0.013347, 0.012598
9.869684, 5355353, 0.012271, 0.012598
9.902328, 5355785, 0.000912, 0.012598
9.934794, 5356215, -0.006988, 0.012598
9.968800, 5356668, -0.018122, 0.012598
10.002818, 5357128, 0.007969, 0.012598
10.035266, 5357577, 0.008168, 0.012598
10.069173, 5358069, 0.018196, 0.012598
10.102290, 5358556, -0.012026, 0.012598
10.134818, 5359047, 0.007703, 0.012598
10.169194, 5359548, 0.017370, 0.012598
10.202208, 5360078, -0.009278, 0.012598
10.236745, 5360603, 0.011110, 0.012598
10.269206, 5361153, 0.018813, 0.012598
10.302173, 5361697, 0.000873, 0.012598
10.335079, 5362255, 0.014795, 0.012598
10.369359, 5362837, -0.003255, 0.012598
10.401987, 5363410, 0.036127, 0.012598
10.434934, 5363995, -0.009546, 0.012598
10.469707, 5364584, -0.002819, 0.012598
10.502408, 5365198, -0.002145, 0.012598
10.534694, 5365806, 0.026149, 0.012598
10.570278, 5366444, 0.033252, 0.012598
