#time, encoder, angular velocity, steering angle
0.000000, 1738684, 0.008565, -0.489355
0.005091, 1738685, -0.003785, -0.489355
0.006011, 1738685, 0.006400, -0.489355
0.007835, 1738686, -0.001922, -0.489355
0.009446, 1738686, 0.012080, -0.489355
0.010788, 1738684, -0.004509, -0.489355
0.013100, 1738684, 0.010575, -0.489355
0.015323, 1738684, -0.000753, -0.489355
0.039753, 1738684, -0.006195, -0.489355
0.073266, 1738685, 0.009682, -0.489355
0.107461, 1738685, -0.004119, -0.489355
0.139641, 1738685, 0.007247, -0.489355
0.173115, 1738685, -0.004025, -0.489355
0.207184, 1738685, 0.003437, -0.489355
0.240033, 1738685, -0.004010, -0.489355
0.273065, 1738685, -0.003569, -0.489355
0.306965, 1738685, -0.002277, -0.489355
0.339567, 1738685, -0.002639, -0.489355
0.373302, 1738685, 0.006137, -0.489355
0.406571, 1738685, -0.014300, -0.489355
0.439667, 1738685, 0.003706, -0.489355
0.472812, 1738685, -0.001618, -0.489355
0.507125, 1738685, 0.001449, -0.489355
0.539654, 1738686, 0.008518, -0.489355
0.573686, 1738686, 0.003404, -0.489355
0.606474, 1738687, 0.002222, -0.489355
0.639796, 1738685, 0.011463, -0.489355
0.673083, 1738684, 0.011018, -0.489355
0.707033, 1738684, 0.005515, -0.489355
0.739758, 1738684, 0.006384, -0.489355
0.773507, 1738685, 0.002850, -0.489355
0.806773, 1738685, -0.019523, -0.489355
0.840316, 1738685, -0.008813, -0.489355
0.873219, 1738685, 0.004426, -0.489355
0.907138, 1738685, 0.000388, -0.489355
0.939270, 1738685, 0.003934, -0.489355
0.973768, 1738685, 0.002655, -0.489355
1.006713, 1738685, -0.008779, -0.489355
1.039420, 1738685, 0.002474, -0.489075
1.073124, 1738685, 0.002390, -0.489075
1.106620, 1738685, 0.000382, -0.489075
1.139272, 1738685, 0.003525, -0.489075
1.173318, 1738686, 0.008590, -0.489075
1.206961, 1738686, 0.003830, -0.489075
1.239656, 1738687, 0.005768, -0.489075
1.273075, 1738687, 0.004257, -0.489075
1.307250, 1738686, 0.000847, -0.488795
1.339503, 1738686, 0.005481, -0.488795
1.373007, 1738686, -0.006945, -0.488795
1.407534, 1738686, -0.001309, -0.488795
1.440010, 1738686, 0.004373, -0.488795
1.473073, 1738686, -0.001853, -0.488795
1.506566, 1738685, 0.005912, -0.488515
1.539581, 1738685, 0.004982, -0.488515
1.573297, 1738685, 0.005038, -0.488515
1.607074, 1738685, -0.003064, -0.488515
1.642238, 1738685, -0.006236, -0.488515
1.673226, 1738685, 0.003588, -0.488515
1.706629, 1738685, 0.007602, -0.488515
1.739321, 1738685, 0.000654, -0.488515
1.773574, 1738685, 0.004091, -0.488515
1.807041, 1738686, 0.007126, -0.488515
1.839608, 1738686, 0.001316, -0.488515
1.873213, 1738686, 0.006684, -0.488515
1.907450, 1738686, 0.002469, -0.488515
1.939411, 1738686, -0.005642, -0.488515
1.973383, 1738686, -0.000354, -0.488515
2.006532, 1738686, -0.012590, -0.488515
2.039869, 1738686, -0.002289, -0.488515
2.072794, 1738686, 0.001775, -0.488515
2.106787, 1738686, -0.006045, -0.488515
2.139638, 1738686, -0.007710, -0.488515
2.173455, 1738686, 0.001991, -0.488515
2.207234, 1738686, 0.004560, -0.488515
2.239644, 1738686, -0.000831, -0.488515
2.273069, 1738686, -0.003141, -0.488515
2.306712, 1738686, -0.004495, -0.488515
2.339672, 1738686, 0.005938, -0.488515
2.373353, 1738686, 0.001141, -0.488515
2.406671, 1738686, 0.002208, -0.488515
2.440070, 1738686, -0.000549, -0.488515
2.473105, 1738686, -0.001980, -0.488515
2.506865, 1738686, -0.004748, -0.488515
2.539737, 1738686, 0.005245, -0.488515
2.573349, 1738686, 0.005008, -0.488515
2.606371, 1738686, 0.001934, -0.488515
2.639952, 1738686, -0.004398, -0.488515
2.673081, 1738686, -0.002016, -0.488515
2.706619, 1738686, 0.004994, -0.488515
2.739631, 1738686, -0.012109, -0.488515
2.773397, 1738686, -0.001159, -0.488515
2.806408, 1738686, 0.000749, -0.488515
2.839438, 1738686, -0.002916, -0.488515
2.873087, 1738686, 0.003444, -0.488515
2.906993, 1738686, 0.001820, -0.488515
2.939615, 1738686, -0.001587, -0.488515
2.973635, 1738686, 0.004866, -0.488515
3.007594, 1738686, 0.005134, -0.488515
3.039839, 1738686, -0.002924, -0.488515
3.073112, 1738686, -0.001902, -0.488515
3.106795, 1738686, 0.003099, -0.488515
3.140002, 1738685, 0.000775, -0.488515
3.173133, 1738685, -0.002338, -0.488515
3.206545, 1738685, 0.000948, -0.488515
3.239776, 1738685, 0.005460, -0.488515
3.272963, 1738685, 0.003503, -0.488515
3.307154, 1738685, 0.001370, -0.488515
3.339185, 1738685, -0.001440, -0.488515
3.373450, 1738685, 0.000906, -0.488515
3.406109, 1738685, -0.003396, -0.488515
3.439550, 1738685, -0.001013, -0.488515
3.473343, 1738685, -0.001235, -0.488515
3.506968, 1738685, -0.007668, -0.488515
3.539404, 1738685, 0.008738, -0.488515
3.573379, 1738685, -0.012878, -0.488515
3.606289, 1738685, 0.003652, -0.488515
3.639766, 1738685, -0.003865, -0.488515
3.673092, 1738685, 0.000625, -0.488515
3.706168, 1738685, 0.001034, -0.488515
3.739498, 1738685, 0.000009, -0.488515
3.773256, 1738685, -0.000340, -0.488515
3.806420, 1738685, -0.002842, -0.488515
3.839871, 1738685, -0.006718, -0.488515
3.873119, 1738685, -0.000215, -0.488515
3.906365, 1738685, 0.001429, -0.488515
3.939638, 1738685, 0.002579, -0.488515
3.972976, 1738685, -0.002354, -0.488515
4.006353, 1738685, 0.001961, -0.488515
4.039656, 1738685, -0.002303, -0.488515
4.073270, 1738685, -0.002990, -0.488515
4.106726, 1738685, -0.000717, -0.488515
4.139735, 1738685, -0.000580, -0.488515
4.173580, 1738685, 0.003806, -0.488515
4.206703, 1738685, -0.004807, -0.488515
4.239491, 1738685, 0.000666, -0.488515
4.273434, 1738685, -0.001952, -0.488515
4.306713, 1738685, 0.002746, -0.488515
4.339373, 1738685, 0.000252, -0.488515
4.373793, 1738685, -0.000809, -0.488515
4.406644, 1738685, 0.004935, -0.488515
4.439729, 1738685, 0.006330, -0.488515
