#time, encoder, angular velocity, steering angle
0.000000, 0, -0.002917, 0.081186
0.004812, 0, 0.002603, 0.081186
0.009553, 0, -0.001437, 0.081186
0.012299, 0, -0.002866, 0.081186
0.013104, 0, -0.004553, 0.081186
0.016861, 0, 0.001035, 0.081186
0.017878, 0, -0.001439, 0.081186
0.028780, 0, -0.000713, 0.081186
0.061148, 0, -0.005308, 0.081186
0.093219, 0, 0.003302, 0.080906
0.126601, 0, 0.001697, 0.080906
0.161464, 0, 0.003780, 0.080906
0.193720, 0, -0.002300, 0.080906
0.226762, 0, -0.004530, 0.080906
0.263021, 0, -0.005711, 0.080906
0.293259, 0, -0.000201, 0.080906
0.326587, 0, 0.003798, 0.080626
0.362287, 0, 0.004846, 0.080346
0.393333, 0, -0.008195, 0.080346
0.426975, 0, 0.000690, 0.080346
0.461061, 0, 0.011466, 0.080346
0.493328, 0, -0.010355, 0.080346
0.527063, 1, -0.007378, 0.080346
0.560013, 1, 0.003603, 0.080346
0.592913, 1, -0.002273, 0.080346
0.626580, 1, 0.004193, 0.080346
0.660071, 1, 0.013742, 0.080346
0.693125, 0, -0.000628, 0.080626
0.726665, 0, -0.000322, 0.080626
0.760813, 0, -0.009953, 0.080626
0.792960, 0, -0.003915, 0.080906
0.826783, 0, -0.005291, 0.080906
0.860638, 0, -0.006220, 0.080906
0.893223, 0, -0.008279, 0.080906
0.926426, 0, 0.002266, 0.080906
0.961669, 1, -0.003301, 0.080906
0.992988, 1, -0.000793, 0.080906
1.026706, 1, 0.006962, 0.080906
1.060644, 1, -0.000401, 0.080906
1.092896, 1, 0.000678, 0.080906
1.126924, 1, -0.002466, 0.080906
1.160630, 1, -0.003556, 0.080906
1.193652, 0, 0.005927, 0.080906
1.226677, 0, -0.000829, 0.080906
1.260765, 0, -0.007310, 0.080906
1.292984, 0, 0.001844, 0.080906
1.326624, 0, -0.009641, 0.080906
1.361756, 1, -0.001309, 0.080906
1.393052, 1, -0.001952, 0.080906
1.427184, 1, -0.006313, 0.080906
1.460522, 1, -0.003404, 0.080906
1.493866, 0, -0.011631, 0.080906
1.526850, 0, -0.001167, 0.080906
1.561628, 0, -0.000660, 0.080906
1.593654, 0, -0.000504, 0.080906
1.627490, 0, 0.001552, 0.080906
1.660676, 0, -0.003948, 0.080906
1.693683, 0, 0.002754, 0.080906
1.726834, 0, 0.002449, 0.080906
1.760561, 0, -0.005279, 0.081186
1.793458, 1, 0.006363, 0.081186
1.827094, 1, -0.001834, 0.081186
1.859534, 1, 0.001172, 0.081186
1.893112, 1, 0.007210, 0.081186
1.926895, 1, 0.000830, 0.081186
1.960576, 0, 0.003428, 0.081466
1.993622, 1, 0.003456, 0.081466
2.026876, 1, 0.008786, 0.081746
2.060266, 3, 0.002311, 0.082026
2.093739, 14, 0.003214, 0.082586
2.126735, 41, -0.005757, 0.083426
2.161319, 86, 0.005350, 0.084825
2.194196, 150, 0.011298, 0.086505
2.226985, 203, 0.007638, 0.088185
2.260971, 244, 0.008195, 0.090144
2.294120, 284, -0.000525, 0.092664
2.326531, 336, 0.002791, 0.095743
2.360135, 408, -0.005361, 0.098543
2.394151, 493, 0.009781, 0.100783
2.427094, 583, 0.005517, 0.103022
2.461857, 686, 0.012423, 0.104982
2.494195, 809, 0.006761, 0.107221
2.526175, 935, 0.011679, 0.108341
2.561723, 1086, 0.002000, 0.109461
2.593500, 1249, 0.014852, 0.110021
2.627120, 1429, 0.009150, 0.110861
2.660335, 1622, 0.008357, 0.111141
2.693343, 1847, 0.011737, 0.111141
2.726486, 2091, 0.009327, 0.111141
2.760531, 2347, 0.021047, 0.111141
2.793680, 2627, 0.011036, 0.111141
2.826964, 2927, 0.023098, 0.111141
2.860620, 3265, 0.023280, 0.111141
2.893337, 3618, 0.013647, 0.111141
2.926927, 3996, 0.035972, 0.111141
2.960829, 4411, 0.027719, 0.111421
2.993375, 4836, 0.049194, 0.111701
3.027192, 5290, 0.017963, 0.111981
3.060153, 5795, 0.036315, 0.112820
3.093929, 6312, 0.019750, 0.114220
3.129733, 6852, 0.067873, 0.115340
3.160728, 7434, 0.005496, 0.116740
3.193568, 8051, 0.026454, 0.118419
3.227075, 8652, 0.036194, 0.119819
3.261834, 9323, 0.079677, 0.121219
3.294099, 10028, 0.080573, 0.122339
3.326432, 10736, 0.067755, 0.123459
3.361169, 11473, 0.036191, 0.124298
3.393523, 12260, 0.055052, 0.125138
3.426733, 13051, 0.074953, 0.125698
3.460179, 13872, 0.063555, 0.126258
3.493174, 14717, 0.069404, 0.126538
3.526972, 15615, 0.064716, 0.127378
3.560293, 16515, 0.081296, 0.127658
3.593038, 17443, 0.087429, 0.128218
3.627202, 18428, 0.082281, 0.128498
3.659977, 19403, 0.086420, 0.129058
3.693264, 20411, 0.091058, 0.129058
3.726446, 21470, 0.104324, 0.129058
3.760331, 22528, 0.091368, 0.129058
3.793183, 23613, 0.104836, 0.129058
3.827503, 24765, 0.091593, 0.129058
3.860244, 25914, 0.093095, 0.129058
3.893504, 27128, 0.111067, 0.129058
3.926470, 28338, 0.096042, 0.129058
3.960203, 29584, 0.122846, 0.129058
4.007375, 30898, 0.106765, 0.129058
4.027342, 32204, 0.138438, 0.129058
4.060803, 33541, 0.105625, 0.129058
4.093565, 34945, 0.144552, 0.129058
4.126452, 36338, 0.109816, 0.129058
4.160056, 37753, 0.135444, 0.129058
4.193161, 39247, 0.145003, 0.129058
4.226719, 40729, 0.126102, 0.129058
4.259736, 42247, 0.157828, 0.129058
4.293531, 43833, 0.136575, 0.129058
4.326137, 45403, 0.134074, 0.129058
4.361233, 47002, 0.159620, 0.129058
4.392715, 48671, 0.118904, 0.129058
4.426939, 50320, 0.177805, 0.129058
4.460403, 52046, 0.120252, 0.129058
4.493326, 53754, 0.209950, 0.129058
4.526323, 55477, 0.136044, 0.129338
4.560601, 57235, 0.137245, 0.129338
4.593232, 59076, 0.144516, 0.129338
4.626391, 60882, 0.172568, 0.129338
4.660495, 62783, 0.168339, 0.129338
4.693120, 64648, 0.190949, 0.129338
4.727059, 66544, 0.169530, 0.129338
4.760244, 68532, 0.188458, 0.129338
4.793115, 70493, 0.193403, 0.129338
4.826880, 72486, 0.213544, 0.129338
4.860898, 74558, 0.193711, 0.129338
4.892873, 76591, 0.219575, 0.129338
4.926892, 78654, 0.198474, 0.129338
4.960780, 80814, 0.171682, 0.129338
4.993289, 82920, 0.145420, 0.129338
5.027417, 85045, 0.221505, 0.129338
5.060610, 87268, 0.163430, 0.129058
5.092692, 89445, 0.157812, 0.127658
5.127132, 91716, 0.198234, 0.124298
5.160464, 93960, 0.199571, 0.120659
5.192717, 96215, 0.207419, 0.115340
5.227933, 98568, 0.208733, 0.107781
5.260625, 100877, 0.193994, 0.099103
5.296417, 103215, 0.194803, 0.089305
5.327959, 105713, 0.143574, 0.078386
5.360649, 107994, 0.164842, 0.068028
5.393553, 110350, 0.145397, 0.057390
5.427753, 112888, 0.123403, 0.046752
5.461211, 115200, 0.121829, 0.037234
5.493393, 117682, 0.083305, 0.027715
5.529322, 120185, 0.086540, 0.018757
5.561431, 122551, 0.106447, 0.011758
5.593745, 124997, 0.054400, 0.007279
5.627026, 127515, 0.072045, 0.004479
5.660160, 129992, 0.014051, 0.003359
5.693639, 132544, 0.010593, 0.003919
5.726504, 134996, 0.012980, 0.004479
5.760109, 137471, 0.027514, 0.004759
5.793454, 140037, 0.051752, 0.004759
5.826583, 142554, 0.024666, 0.005039
5.860542, 145065, 0.038638, 0.005319
5.893177, 147661, 0.065094, 0.005599
5.926509, 150191, -0.007380, 0.005879
5.960338, 152720, 0.013209, 0.005879
5.993294, 155340, -0.023394, 0.005879
6.027078, 157876, 0.033462, 0.006159
6.060676, 160429, 0.033103, 0.006159
6.093056, 163035, 0.013408, 0.006159
6.126908, 165572, 0.040147, 0.006159
6.161994, 168106, 0.041850, 0.006159
6.193316, 170711, 0.012982, 0.006159
6.227289, 173252, 0.016844, 0.006159
6.260258, 175808, -0.000025, 0.006159
6.293136, 178431, 0.027982, 0.006159
6.327088, 181048, 0.007712, 0.006159
6.360289, 183574, 0.012583, 0.006159
6.393285, 186130, 0.032279, 0.006159
6.426937, 188760, 0.010027, 0.006159
6.460875, 191223, 0.040803, 0.006159
6.493460, 193836, 0.031177, 0.006159
6.527339, 196472, 0.041813, 0.006159
6.560844, 198985, -0.003493, 0.006159
6.592932, 201520, 0.034945, 0.006159
6.626422, 204043, -0.044509, 0.006159
6.660647, 206653, 0.091313, 0.006159
6.692824, 209180, 0.041345, 0.006159
6.726666, 211723, 0.022850, 0.006159
6.761397, 214359, 0.003760, 0.006159
6.792858, 216911, -0.005393, 0.006159
6.827015, 219534, 0.028196, 0.006159
6.861956, 222067, -0.008960, 0.006159
6.893455, 224610, 0.021888, 0.005879
6.926765, 227238, 0.007995, 0.005039
6.960085, 229782, 0.024410, 0.004759
6.992862, 232314, -0.015731, 0.004479
7.027336, 234931, 0.024912, 0.003639
7.062020, 237479, 0.013573, 0.002240
7.093316, 240027, 0.021483, 0.000280
7.126847, 242633, 0.050894, -0.003079
7.160573, 245173, 0.011873, -0.007279
7.193482, 247738, 0.042015, -0.012598
7.226823, 250366, -0.002689, -0.018757
7.261063, 252905, -0.001982, -0.025476
7.293531, 255452, -0.029064, -0.032754
